x1,x2,x3,x4,y
0.773956049,0.43887844,0.85859792,0.697368029,0.094177348
0.975622352,0.761139702,0.786064305,0.128113633,0.450385938
0.370798024,0.926764989,0.64386512,0.822761613,0.443414199
0.227238722,0.554584787,0.063817256,0.827631172,0.631664399
0.75808774,0.354525968,0.970698024,0.893121121,0.778383497
0.194638708,0.466721004,0.043803766,0.154289492,0.683048953
0.744762156,0.967509732,0.325825358,0.370459706,0.469555811
0.189471359,0.129921505,0.475704926,0.226909349,0.669813995
0.437151919,0.832678196,0.700265102,0.312366641,0.832259801
0.804764357,0.387478379,0.288328104,0.682495504,0.139752484
0.199908202,0.00736227,0.786924378,0.664850857,0.705165379
0.780729031,0.458915776,0.568741196,0.139796998,0.114530074
0.668402962,0.471096206,0.565236106,0.764998857,0.63471832
0.553579401,0.559207161,0.303950098,0.030817835,0.436717389
0.214584673,0.408528644,0.853403073,0.233939486,0.058302742
0.281383892,0.293593758,0.661916515,0.557032152,0.783898209
0.66431354,0.406386861,0.814020385,0.16697292,0.022712073
0.090047861,0.722359351,0.46187723,0.161271779,0.501044775
0.152312103,0.696320375,0.446156276,0.381021226,0.301512089
0.630282593,0.361812611,0.087649919,0.118005902,0.961897665
